scenario,time_s,com_mps,max_linear_mps,max_angular_radps,pelvis_y,head_y,settled
B_headflick_mars_comic,4.900,0.0495,0.0935,1.4422,0.0609,0.3573,0
B_headflick_mars_comic,5.000,0.0224,0.1005,0.7294,0.0620,0.3547,0
B_headflick_mars_comic,5.100,0.0123,0.0723,1.2251,0.0619,0.3521,0
B_headflick_mars_comic,5.200,0.0113,0.0264,0.5822,0.0625,0.3515,0
B_headflick_mars_comic,5.300,0.0109,0.0194,0.2247,0.0634,0.3510,0
B_headflick_mars_comic,5.400,0.0055,0.0193,0.1499,0.0641,0.3511,0
B_headflick_mars_comic,5.500,0.0020,0.0169,0.1841,0.0644,0.3514,0
B_headflick_mars_comic,5.600,0.0033,0.0224,0.1867,0.0646,0.3516,0
B_headflick_mars_comic,5.700,0.0038,0.0233,0.2320,0.0646,0.3517,0
B_headflick_mars_comic,5.800,0.0040,0.0219,0.2575,0.0648,0.3518,0
B_headflick_mars_comic,5.900,0.0025,0.0118,0.1213,0.0649,0.3518,1
B_headflick_mars_comic,6.000,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.100,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.200,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.300,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.400,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.500,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.600,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.700,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.800,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,6.900,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.000,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.100,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.200,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.300,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.400,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.500,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.600,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.700,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.800,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,7.900,0.0000,0.0000,0.0000,0.0649,0.3518,1
B_headflick_mars_comic,8.000,0.0000,0.0000,0.0000,0.0649,0.3518,1
C_blast_mars_comic,0.000,0.0000,0.0000,0.0000,0.1950,0.8775,0
C_blast_mars_comic,0.100,3.6748,5.1723,32.5654,0.2856,0.9642,0
C_blast_mars_comic,0.200,3.5417,4.0440,10.2646,0.3766,1.0623,0
C_blast_mars_comic,0.300,3.4475,4.0751,8.5825,0.4418,1.1189,0
C_blast_mars_comic,0.400,3.3938,3.9597,12.8214,0.4721,1.1101,0
C_blast_mars_comic,0.500,3.3811,3.8746,8.3816,0.4729,1.0436,0
C_blast_mars_comic,0.600,3.4083,3.7843,4.3700,0.4559,0.9211,0
C_blast_mars_comic,0.700,3.4731,3.6925,6.5007,0.4190,0.7433,0
C_blast_mars_comic,0.800,3.5722,3.8808,6.5746,0.3502,0.5178,0
C_blast_mars_comic,0.900,3.3767,4.0479,9.1216,0.2427,0.2457,0
C_blast_mars_comic,1.000,2.7855,3.8176,14.3700,0.0927,0.1292,0
C_blast_mars_comic,1.100,1.2147,2.8172,15.2097,0.1067,0.2207,0
C_blast_mars_comic,1.200,0.9173,2.0504,4.2020,0.1547,0.3307,0
C_blast_mars_comic,1.300,0.6193,1.6031,5.4093,0.1293,0.4206,0
C_blast_mars_comic,1.400,0.4839,1.2786,3.8352,0.1085,0.4924,0
C_blast_mars_comic,1.500,0.3237,1.0469,3.4233,0.1004,0.5348,0
C_blast_mars_comic,1.600,0.2223,0.7372,5.1498,0.0919,0.5624,0
C_blast_mars_comic,1.700,0.1399,0.5180,5.1396,0.0819,0.5800,0
C_blast_mars_comic,1.800,0.0793,0.5774,4.8165,0.0756,0.5854,0
C_blast_mars_comic,1.900,0.1297,0.4399,4.8320,0.0731,0.5795,0
C_blast_mars_comic,2.000,0.1892,0.5584,7.5125,0.0709,0.5654,0
C_blast_mars_comic,2.100,0.2491,0.7094,6.5837,0.0735,0.5445,0
C_blast_mars_comic,2.200,0.3236,0.8735,3.8095,0.0800,0.5068,0
C_blast_mars_comic,2.300,0.3843,1.1538,3.7636,0.0902,0.4465,0
C_blast_mars_comic,2.400,0.4787,1.3497,9.1095,0.0914,0.3744,0
C_blast_mars_comic,2.500,0.5828,1.5215,10.7849,0.0943,0.2873,0
C_blast_mars_comic,2.600,0.6811,1.6831,4.0932,0.1051,0.1739,0
C_blast_mars_comic,2.700,0.2250,0.7933,4.5000,0.1201,0.1162,0
C_blast_mars_comic,2.800,0.1748,0.7146,5.9275,0.1247,0.1095,0
C_blast_mars_comic,2.900,0.1333,0.6214,2.1165,0.1292,0.1074,0
C_blast_mars_comic,3.000,0.0868,0.5340,2.2862,0.1290,0.1081,0
C_blast_mars_comic,3.100,0.0698,0.4698,1.6603,0.1283,0.1083,0
C_blast_mars_comic,3.200,0.0625,0.4044,1.4207,0.1279,0.1092,0
C_blast_mars_comic,3.300,0.0460,0.2548,0.8327,0.1278,0.1161,0
C_blast_mars_comic,3.400,0.0173,0.0898,0.4891,0.1278,0.1203,0
C_blast_mars_comic,3.500,0.0063,0.0265,0.2018,0.1274,0.1191,0
C_blast_mars_comic,3.600,0.0161,0.0832,0.2848,0.1273,0.1159,0
C_blast_mars_comic,3.700,0.0218,0.1064,0.4112,0.1272,0.1133,0
C_blast_mars_comic,3.800,0.0247,0.1246,0.5393,0.1273,0.1110,0
C_blast_mars_comic,3.900,0.0290,0.1331,0.4291,0.1275,0.1089,0
C_blast_mars_comic,4.000,0.0243,0.1224,0.3954,0.1279,0.1075,0
C_blast_mars_comic,4.100,0.0181,0.1053,0.3490,0.1280,0.1067,0
C_blast_mars_comic,4.200,0.0140,0.0911,0.3145,0.1282,0.1064,0
C_blast_mars_comic,4.300,0.0118,0.0784,0.2836,0.1282,0.1066,0
C_blast_mars_comic,4.400,0.0108,0.0691,0.2449,0.1282,0.1067,0
C_blast_mars_comic,4.500,0.0089,0.0605,0.2134,0.1281,0.1067,0
C_blast_mars_comic,4.600,0.0078,0.0529,0.1879,0.1281,0.1067,0
C_blast_mars_comic,4.700,0.0071,0.0462,0.1640,0.1281,0.1067,0
C_blast_mars_comic,4.800,0.0062,0.0401,0.1427,0.1281,0.1068,0
C_blast_mars_comic,4.900,0.0053,0.0351,0.1249,0.1281,0.1068,0
C_blast_mars_comic,5.000,0.0047,0.0307,0.1088,0.1281,0.1068,0
C_blast_mars_comic,5.100,0.0040,0.0266,0.0946,0.1281,0.1069,0
C_blast_mars_comic,5.200,0.0035,0.0230,0.0829,0.1281,0.1069,0
C_blast_mars_comic,5.300,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,5.400,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,5.500,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,5.600,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,5.700,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,5.800,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,5.900,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.000,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.100,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.200,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.300,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.400,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.500,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.600,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.700,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.800,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,6.900,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.000,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.100,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.200,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.300,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.400,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.500,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.600,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.700,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.800,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,7.900,0.0000,0.0000,0.0000,0.1281,0.1069,1
C_blast_mars_comic,8.000,0.0000,0.0000,0.0000,0.1281,0.1069,1
D_bodycheck_earth_comic,0.000,0.0000,0.0000,0.0000,0.1950,0.8775,0
D_bodycheck_earth_comic,0.100,3.4012,3.9641,3.1784,0.3283,0.9986,0
D_bodycheck_earth_comic,0.200,3.2184,3.7102,3.7049,0.3874,1.0135,0
D_bodycheck_earth_comic,0.300,3.3278,3.7411,3.8113,0.3737,0.9252,0
D_bodycheck_earth_comic,0.400,3.6945,3.9436,2.5053,0.2418,0.7413,0
D_bodycheck_earth_comic,0.500,3.5795,4.3338,27.5523,0.0778,0.5163,0
D_bodycheck_earth_comic,0.600,2.2231,6.5514,13.6282,0.1386,0.1909,0
D_bodycheck_earth_comic,0.700,1.3799,2.0493,13.8463,0.1371,0.1888,0
D_bodycheck_earth_comic,0.800,0.7245,1.5451,5.7731,0.1188,0.2725,0
D_bodycheck_earth_comic,0.900,0.0789,0.9184,5.6814,0.1172,0.2815,0
D_bodycheck_earth_comic,1.000,0.0319,0.1634,5.7829,0.1144,0.2779,0
D_bodycheck_earth_comic,1.100,0.0143,0.2480,5.3883,0.1166,0.2779,0
D_bodycheck_earth_comic,1.200,0.0107,0.1519,1.5448,0.1161,0.2771,0
D_bodycheck_earth_comic,1.300,0.0215,0.1646,2.0577,0.1163,0.2754,0
D_bodycheck_earth_comic,1.400,0.0403,0.3074,3.3602,0.1170,0.2709,0
D_bodycheck_earth_comic,1.500,0.0538,0.2239,1.5649,0.1184,0.2631,0
D_bodycheck_earth_comic,1.600,0.0585,0.1629,1.5585,0.1171,0.2575,0
D_bodycheck_earth_comic,1.700,0.0257,0.2216,3.3632,0.1162,0.2531,0
D_bodycheck_earth_comic,1.800,0.0045,0.0539,1.5352,0.1164,0.2521,0
D_bodycheck_earth_comic,1.900,0.0189,0.0557,0.8579,0.1176,0.2534,0
D_bodycheck_earth_comic,2.000,0.0177,0.0488,0.7694,0.1185,0.2552,0
